PH,StartCount,VEmax,R0,VEest,CILow,CIUp,SS
0.1,16,0.9,0.7,88.28431373,69.04545455,97.36842105,39.32640328
0.1,16,0.9,0.8,88.04761905,70.20833333,96.97150735,31.54405423
0.1,21,0.5,0.37,56.01135191,25.52380952,79.64788732,374.7542089
0.1,21,0.5,0.5,58.82768362,27.08333333,78.23376623,190.8321264
0.1,21,0.5,0.61,59.14770192,30.47690015,78.78090659,133.4397858
0.1,21,0.5,0.7,58.88544892,23.36999022,78.68544339,104.1867421
0.1,21,0.5,0.8,58.95320197,31.85810811,77.77772095,75.20570975
0.1,21,0.6,0.37,65.10869565,29.75061576,83.34305317,309.0022163
0.1,21,0.6,0.5,68.68872549,42.66964286,82.8755102,143.2094199
0.1,21,0.6,0.61,69.13919414,40.35714286,88.94115442,92.77325001
0.1,21,0.6,0.7,70.70044709,38.54458042,86.46875,66.82681998
0.1,21,0.6,0.8,70.97783572,39.48621857,86.10080645,56.89976083
0.1,21,0.7,0.37,77.0979021,44.37820513,91.56417112,218.068502
0.1,21,0.7,0.5,79.23850575,45.48051075,93.18604651,93.36170195
0.1,21,0.7,0.61,78.28009828,44.375,95.69805195,69.15424491
0.1,21,0.7,0.7,78,48.95,91.3961039,54.49616685
0.1,21,0.7,0.8,79.74358974,46.57608696,94.24813587,41.18241258
0.1,21,0.8,0.37,83.33333333,49.01069519,96.64983165,151.6698483
0.1,21,0.8,0.5,84.73193473,54.18300654,97.33463727,83.6948404
0.1,21,0.8,0.61,86.26923077,58.63076923,100,56.68772567
0.1,21,0.8,0.7,86.51515152,51.0326087,96.49074074,43.84401929
0.1,21,0.8,0.8,87.22826087,68.18181818,96.36574074,34.78491404
0.1,21,0.9,0.37,90.90909091,66.40625,100,133.9963634
0.1,21,0.9,0.5,92.85714286,61.16071429,100,68.66172985
0.1,21,0.9,0.61,93.74389052,75.00773994,100,48.74634949
0.1,21,0.9,0.7,93.64919355,71.53133903,100,38.12201684
0.1,21,0.9,0.8,95.12195122,77.109375,100,29.33507238
0.1,26,0.5,0.37,58.86012942,34.06976744,78.73612396,510.1042685
0.1,26,0.5,0.5,62.42436466,32.36413043,82.14102564,236.9758411
0.1,26,0.5,0.61,63.65330848,16.43396226,83.38178295,133.60323
0.1,26,0.5,0.7,62.2875817,19.77678571,79.78594322,101.7345463
0.1,26,0.5,0.8,65.6483209,35.3967429,80.33946824,75.1793219
0.1,26,0.6,0.37,73.94179894,34.125,90.69918699,313.2089577
0.1,26,0.6,0.5,69.50483092,40.11424731,90.99431818,144.9170787
0.1,26,0.6,0.61,75,39.24242424,88.49627175,97.37909004
0.1,26,0.6,0.7,70.93841642,47.46212121,88.24140798,73.43048119
0.1,26,0.6,0.8,71.41025641,41.67019027,91.45833333,54.49266877
0.1,26,0.7,0.37,80.70719603,48.25,95.83478261,253.8922544
0.1,26,0.7,0.5,81.41447368,53.02916667,94.59795322,115.6681345
0.1,26,0.7,0.61,79.70588235,50,92.6875,79.50741051
0.1,26,0.7,0.7,82.55578093,58.97537879,94.52255639,58.77930381
0.1,26,0.7,0.8,82.24789916,49.20955882,95.44888428,42.88968122
0.1,26,0.8,0.37,88.88888889,60,100,200.0113877
0.1,26,0.8,0.5,88.88888889,52.63888889,100,95.88304142
0.1,26,0.8,0.61,88.46153846,57.66666667,100,61.65003015
0.1,26,0.8,0.7,87.5,57.13636364,100,47.32366881
0.1,26,0.8,0.8,90.66133721,60.82417582,100,35.24443385
0.1,26,0.9,0.37,94.72222222,75.91346154,100,151.03821
0.1,26,0.9,0.5,95.55335968,82.07219251,100,82.79289824
0.1,26,0.9,0.61,94.73684211,80.04111842,100,53.22465395
0.1,26,0.9,0.7,95.91666667,84.40283401,100,40.34835412
0.1,26,0.9,0.8,95.91666667,82.95289855,100,32.98241817
0.15,6,0.5,0.37,23.29600953,12.46209816,35.10167878,1530.656436
0.15,6,0.5,0.5,27.84329913,14.19462281,42.36487159,599.558601
0.15,6,0.5,0.61,32.3011618,13.56277867,44.73733111,320.3413228
0.15,6,0.5,0.7,31.36622283,13.03163456,50.31437126,257.7630215
0.15,6,0.5,0.8,35.79916475,7.99796748,52.22149493,195.3211333
0.15,6,0.6,0.37,26.14132015,12.05908709,40.23860803,973.2185991
0.15,6,0.6,0.5,31.8041092,9.43592281,48.54408881,332.2982256
0.15,6,0.6,0.61,36.09311741,13.67328249,53.98609173,239.5458475
0.15,6,0.6,0.7,39.66131907,18.624523,53.78307087,189.5991579
0.15,6,0.6,0.8,40.71346194,19.10642997,55.80517067,148.9434918
0.15,6,0.7,0.37,29.86292533,14.21110024,42.97348995,649.836125
0.15,6,0.7,0.5,36.5180065,14.14126434,52.98503712,272.7918255
0.15,6,0.7,0.61,42.94755877,20.59681698,59.22065067,185.8965395
0.15,6,0.7,0.7,44.82364701,11.591835,65.08047321,144.1742951
0.15,6,0.7,0.8,46.67329797,24.50706215,61.3727209,110.1884237
0.15,6,0.8,0.37,35.88573606,18.04856734,49.51737452,625.5095134
0.15,6,0.8,0.5,42.66110903,21.00849558,56.52173913,209.921141
0.15,6,0.8,0.61,47.93331967,28.91414141,64.73498834,131.7607778
0.15,6,0.8,0.7,49.7826087,26.91262136,67.01124373,103.8715298
0.15,6,0.8,0.8,52.84230769,24.67741935,67.51970443,80.56989279
0.15,6,0.9,0.37,36.84210526,17.48636713,60.60377015,329.2694288
0.15,6,0.9,0.5,47.3317757,23.91380016,61.74538084,165.7949528
